id,pickup_id,shelter_id,delivered_kg,delivered_ts
1,1,19,0.95,2025-05-06 14:10:17
2,1,31,1.61,2025-05-06 13:37:17
3,1,22,1.35,2025-05-06 13:53:17
4,2,44,2.14,2025-08-17 09:46:56
5,2,48,6.06,2025-08-17 09:37:56
6,3,10,18.57,2025-10-24 17:57:29
7,3,48,15.13,2025-10-24 18:02:29
8,4,55,11.58,2025-03-12 21:07:05
9,4,20,23.11,2025-03-12 20:05:05
10,4,20,10.71,2025-03-12 21:06:05
11,5,32,35.87,2025-07-02 22:41:51
12,5,45,17.83,2025-07-02 22:17:51
13,6,1,45.3,2025-05-09 10:17:34
14,7,34,28.8,2025-08-02 23:41:19
15,8,7,30.6,2025-10-28 09:16:06
16,9,33,50.4,2025-07-31 03:16:19
17,10,60,11.6,2025-10-22 02:50:40
18,11,31,62.7,2025-08-02 16:06:53
19,13,17,13.89,2025-03-03 21:30:29
20,13,40,6.86,2025-03-03 22:06:29
21,13,29,5.55,2025-03-03 21:48:29
22,14,10,12.37,2025-02-14 10:37:03
23,14,2,11.93,2025-02-14 11:03:03
24,15,48,54.6,2025-10-06 17:07:37
25,16,45,4.3,2025-04-06 01:28:12
26,16,13,10.8,2025-04-06 01:03:12
27,17,19,52.2,2025-10-18 04:44:02
28,18,24,18.97,2025-11-03 07:16:30
29,18,18,8.93,2025-11-03 07:38:30
30,19,52,14.9,2025-08-14 14:55:39
31,20,53,70.3,2025-07-08 11:26:20
32,21,19,47.0,2025-05-06 07:23:56
33,22,25,13.5,2025-10-29 13:57:54
34,23,3,91.9,2025-05-31 07:18:53
35,24,40,39.3,2025-02-19 10:16:01
36,25,9,17.9,2025-02-09 02:17:49
37,26,30,9.1,2025-09-12 16:42:15
38,27,23,41.8,2025-08-31 09:41:55
39,28,33,7.8,2025-07-27 15:43:13
40,29,34,78.9,2025-07-30 12:18:05
41,30,12,24.9,2025-03-30 16:37:32
42,31,37,29.48,2025-10-01 18:26:16
43,31,30,48.92,2025-10-01 17:37:16
44,32,51,11.86,2025-01-19 05:25:00
45,32,43,8.14,2025-01-19 06:27:00
46,33,5,15.3,2025-02-26 21:48:31
47,34,31,25.47,2025-03-10 08:43:52
48,34,43,23.23,2025-03-10 09:12:52
49,35,60,52.6,2025-08-15 21:05:06
50,37,34,72.9,2025-03-03 18:00:22
51,38,21,118.6,2025-06-15 04:29:45
52,39,23,68.9,2025-07-08 01:13:32
53,40,26,49.2,2025-09-29 23:41:12
54,41,55,18.9,2025-09-24 16:19:52
55,42,7,11.66,2025-04-22 13:06:22
56,42,60,25.24,2025-04-22 12:44:22
57,43,50,7.02,2025-09-05 14:21:31
58,43,59,12.38,2025-09-05 15:35:31
59,44,47,10.97,2025-09-14 08:33:02
60,44,49,23.53,2025-09-14 09:00:02
61,45,8,45.01,2025-01-16 16:08:42
62,45,55,15.98,2025-01-16 15:40:42
63,45,5,18.11,2025-01-16 17:11:42
64,46,39,10.4,2025-02-21 09:47:48
65,47,60,17.7,2025-03-20 07:45:35
66,48,45,53.2,2025-07-15 05:26:58
67,49,41,38.3,2025-10-18 06:53:14
68,50,13,41.7,2025-10-21 05:47:04
69,51,44,30.3,2025-05-23 10:22:14
70,52,48,9.0,2025-06-26 23:29:46
71,53,34,34.3,2025-11-16 19:23:05
72,54,2,6.48,2025-01-11 02:38:47
73,54,43,15.42,2025-01-11 02:44:47
74,55,52,23.0,2025-09-09 20:47:27
75,56,24,73.5,2025-06-08 21:45:35
76,57,5,18.44,2025-02-15 12:19:16
77,57,12,19.66,2025-02-15 11:12:16
78,58,42,8.49,2025-09-18 19:06:04
79,58,32,4.01,2025-09-18 18:40:04
80,59,37,47.4,2025-10-16 15:02:55
81,60,40,24.84,2025-06-08 20:49:56
82,60,55,30.36,2025-06-08 21:15:56
83,61,29,3.6,2025-06-22 12:55:47
84,62,56,26.1,2025-05-24 00:46:35
85,63,9,17.6,2025-03-16 01:28:38
86,64,32,5.1,2025-09-06 16:55:21
87,64,4,9.5,2025-09-06 17:09:21
88,65,2,6.8,2025-02-19 06:33:44
89,66,60,4.9,2025-03-22 19:37:47
90,67,5,4.7,2025-01-02 11:20:45
91,67,19,7.2,2025-01-02 10:55:45
92,68,16,118.6,2025-11-07 12:04:17
93,69,20,23.51,2025-05-20 12:17:36
94,69,40,11.79,2025-05-20 12:04:36
95,70,58,18.9,2025-04-14 11:03:16
96,71,60,22.2,2025-01-26 01:34:13
97,72,3,22.08,2025-07-16 00:20:01
98,72,27,44.42,2025-07-16 01:00:01
99,73,57,4.1,2025-04-28 12:15:54
100,74,53,1.92,2025-06-15 22:29:29
101,74,22,5.18,2025-06-15 22:52:29
102,75,16,31.55,2025-02-01 17:18:18
103,75,5,27.75,2025-02-01 18:14:18
104,76,45,8.29,2025-09-04 06:10:09
105,76,49,8.91,2025-09-04 06:38:09
106,77,27,6.56,2025-04-25 20:57:46
107,77,48,11.04,2025-04-25 22:04:46
108,78,57,22.6,2025-09-12 14:42:01
109,79,18,44.6,2025-06-25 17:13:48
110,80,33,8.16,2025-06-11 22:31:16
111,80,42,24.24,2025-06-11 21:56:16
112,81,20,56.9,2025-05-26 17:55:18
113,82,2,23.8,2025-02-03 12:18:12
114,82,2,13.5,2025-02-03 11:56:12
115,83,39,37.33,2025-08-05 11:03:04
116,83,25,24.27,2025-08-05 11:45:04
117,84,31,20.43,2025-06-09 22:20:50
118,84,25,15.47,2025-06-09 21:16:50
119,85,45,20.77,2025-01-21 08:35:43
120,85,36,17.13,2025-01-21 08:34:43
121,86,8,17.0,2025-07-17 10:31:39
122,87,23,15.13,2025-08-05 09:43:12
123,87,22,6.77,2025-08-05 09:20:12
124,88,16,29.6,2025-10-26 09:16:22
125,89,1,34.4,2025-08-25 21:39:38
126,90,49,14.8,2025-10-01 07:22:38
127,91,3,29.01,2025-08-09 07:51:42
128,91,1,19.59,2025-08-09 08:21:42
129,92,5,5.92,2025-02-05 23:31:36
130,92,9,12.29,2025-02-05 23:31:36
131,93,3,13.2,2025-03-03 11:55:38
132,94,42,17.6,2025-02-03 09:18:25
133,95,39,19.08,2025-09-20 02:16:37
134,95,31,8.22,2025-09-20 02:50:37
135,96,17,29.41,2025-06-22 00:28:01
136,96,14,26.29,2025-06-22 01:28:01
137,97,53,23.4,2025-06-17 08:49:07
138,98,15,28.7,2025-09-17 12:06:34
139,99,24,13.7,2025-01-04 08:26:55
140,100,16,8.2,2025-04-23 19:23:34
141,100,58,15.5,2025-04-23 19:07:34
142,101,35,22.4,2025-02-20 13:44:52
143,102,23,13.0,2025-11-10 10:35:49
144,103,32,38.71,2025-01-08 16:10:01
145,103,6,31.29,2025-01-08 15:26:01
146,104,54,70.1,2025-08-12 00:55:20
147,105,8,5.72,2025-01-09 10:59:49
148,105,47,8.41,2025-01-09 11:20:49
149,105,51,5.47,2025-01-09 12:17:49
150,106,45,98.1,2025-09-26 04:17:53
151,107,30,39.4,2025-06-19 14:34:58
152,108,18,1.94,2025-05-13 05:13:35
153,108,25,4.9,2025-05-13 05:54:35
154,108,53,2.46,2025-05-13 05:17:35
155,109,32,4.12,2025-07-26 10:34:43
156,109,56,9.59,2025-07-26 09:47:43
157,109,25,4.69,2025-07-26 10:33:43
158,110,14,48.6,2025-04-03 02:49:07
159,111,28,11.5,2025-10-23 15:17:12
160,112,20,20.8,2025-07-12 07:04:16
161,113,23,38.5,2025-08-08 15:13:41
162,114,60,9.87,2025-02-28 23:54:29
163,114,59,3.97,2025-03-01 00:57:29
164,114,52,3.66,2025-02-28 23:44:29
165,115,22,12.26,2025-08-19 00:38:54
166,115,54,27.54,2025-08-19 02:07:54
167,116,28,9.1,2025-01-16 00:31:29
168,117,4,3.78,2025-08-20 02:59:30
169,117,7,1.92,2025-08-20 03:06:30
170,118,60,49.8,2025-06-25 01:31:18
171,119,30,20.95,2025-07-05 02:29:01
172,119,37,12.35,2025-07-05 02:15:01
173,120,11,12.17,2025-02-03 02:43:16
174,120,30,8.63,2025-02-03 02:58:16
175,121,59,9.47,2025-06-21 00:08:28
176,121,18,4.83,2025-06-20 23:53:28
177,122,16,6.48,2025-05-31 19:19:02
178,122,35,3.12,2025-05-31 20:47:02
179,123,26,84.7,2025-09-09 18:42:23
180,124,24,20.4,2025-04-21 17:11:30
181,125,51,38.8,2025-05-10 19:51:33
182,126,8,5.8,2025-09-13 03:03:23
183,126,37,4.1,2025-09-13 03:41:23
184,127,12,10.69,2025-05-01 15:28:44
185,127,30,6.61,2025-05-01 14:36:44
186,128,30,32.7,2025-10-01 07:02:30
187,129,31,49.9,2025-09-09 06:18:15
188,130,14,24.9,2025-03-12 09:31:19
189,131,6,114.2,2025-03-30 08:56:03
190,132,36,18.5,2025-10-27 18:32:23
191,133,29,44.4,2025-05-12 03:10:17
192,134,51,8.3,2025-03-05 10:03:13
193,135,9,39.0,2025-06-20 08:37:42
194,136,10,84.4,2025-08-26 11:41:42
195,137,8,20.91,2025-04-04 05:51:43
196,137,3,18.69,2025-04-04 06:45:43
197,138,56,73.1,2025-09-21 19:30:40
198,139,3,41.2,2025-05-29 16:08:32
199,140,4,77.6,2025-02-24 02:37:04
200,141,44,16.36,2025-02-10 04:24:20
201,141,55,5.56,2025-02-10 06:10:20
202,141,23,5.48,2025-02-10 06:10:20
203,142,39,51.8,2025-10-24 17:00:51
204,143,5,73.2,2025-02-05 23:12:56
205,144,33,25.1,2025-06-11 11:31:10
206,145,21,25.6,2025-05-26 23:02:21
207,146,53,112.4,2025-05-11 15:03:57
208,147,57,3.35,2025-02-24 06:42:29
209,147,10,10.85,2025-02-24 06:24:29
210,148,51,40.3,2025-01-08 18:34:44
211,149,58,70.4,2025-07-25 08:13:13
212,150,40,5.83,2025-04-03 23:12:02
213,150,11,7.57,2025-04-03 22:38:02
214,151,60,23.9,2025-08-21 02:47:39
215,152,2,23.0,2025-02-26 03:38:59
216,153,52,26.5,2025-06-12 03:18:29
217,154,50,8.0,2025-07-24 16:54:45
218,155,23,21.02,2025-01-18 07:27:12
219,155,25,14.48,2025-01-18 06:23:12
220,156,10,8.19,2025-11-03 15:14:21
221,156,49,29.71,2025-11-03 14:30:21
222,157,37,5.27,2025-10-27 23:32:50
223,157,37,5.22,2025-10-28 00:08:50
224,157,36,12.31,2025-10-28 00:24:50
225,158,55,11.58,2025-05-12 19:54:20
226,158,52,13.12,2025-05-12 20:46:20
227,159,43,101.3,2025-09-28 10:39:51
228,160,21,99.3,2025-10-29 19:43:07
229,161,37,15.3,2025-01-17 16:32:30
230,162,22,26.7,2025-04-09 17:44:19
231,163,24,11.7,2025-01-19 23:21:57
232,164,48,40.1,2025-06-05 17:18:23
233,165,24,15.45,2025-09-27 03:34:45
234,165,23,8.26,2025-09-27 02:52:45
235,165,33,8.68,2025-09-27 03:53:45
236,166,42,19.7,2025-06-15 05:33:25
237,167,29,49.8,2025-04-25 10:45:05
238,168,53,9.95,2025-06-23 14:09:10
239,168,60,21.65,2025-06-23 12:40:10
240,169,59,20.0,2025-06-24 01:22:01
241,170,43,77.6,2025-09-06 17:41:09
242,171,51,7.6,2025-05-22 11:01:18
243,172,8,34.6,2025-08-25 07:49:23
244,173,33,10.5,2025-10-30 17:20:21
245,174,13,22.4,2025-08-24 09:41:33
246,174,57,16.05,2025-08-24 08:26:33
247,174,1,13.65,2025-08-24 09:01:33
